,bid,tid,nid,fid,face_path,congruency,PC,frequency,corrResp,sbjResp,sbjCorr,sbjRT
16,4,17,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
17,4,18,Clooney,Clooney,./images/Clooney.jpg,congruent,MC-C,freq,v,,,
18,4,19,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
19,4,20,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
20,4,21,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
21,4,22,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
22,4,23,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
23,4,24,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
24,4,25,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
25,4,26,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
26,4,27,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
27,4,28,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
28,4,29,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
29,4,30,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
30,4,31,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
31,4,32,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
32,4,33,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
33,4,34,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
34,4,35,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
35,4,36,Clooney,Cruise,./images/Cruise.jpg,incongruent,MIC-IC,freq,b,,,
36,4,37,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
37,4,38,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
38,4,39,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
39,4,40,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
40,4,41,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
41,4,42,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
42,4,43,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
43,4,44,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
44,4,45,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
45,4,46,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
46,4,47,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
47,4,48,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
48,4,49,Clooney,Damon,./images/Damon.jpg,incongruent,MIC-IC,freq,n,,,
